Game ID,Game Name,Bet Name,Market Name,Sportsbook,line,Odds
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 61.5,Team Total,DraftKings,61.5,-900.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 62.5,Team Total,DraftKings,62.5,-700.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 63.5,Team Total,DraftKings,63.5,-550.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 64.5,Team Total,DraftKings,64.5,-450.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 65.5,Team Total,DraftKings,65.5,-370.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 66.5,Team Total,DraftKings,66.5,-300.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 67.5,Team Total,DraftKings,67.5,-250.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 68.5,Team Total,DraftKings,68.5,-205.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 69.5,Team Total,DraftKings,69.5,-175.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 70.5,Team Total,DraftKings,70.5,-145.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 72.5,Team Total,DraftKings,72.5,-105.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 73.5,Team Total,DraftKings,73.5,110.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 74.5,Team Total,DraftKings,74.5,135.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 75.5,Team Total,DraftKings,75.5,155.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 76.5,Team Total,DraftKings,76.5,185.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 77.5,Team Total,DraftKings,77.5,220.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 78.5,Team Total,DraftKings,78.5,265.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 79.5,Team Total,DraftKings,79.5,310.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 80.5,Team Total,DraftKings,80.5,360.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Over 81.5,Team Total,DraftKings,81.5,425.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 61.5,Team Total,DraftKings,61.5,475.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 62.5,Team Total,DraftKings,62.5,400.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 63.5,Team Total,DraftKings,63.5,340.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 64.5,Team Total,DraftKings,64.5,295.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 65.5,Team Total,DraftKings,65.5,250.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 66.5,Team Total,DraftKings,66.5,210.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 67.5,Team Total,DraftKings,67.5,180.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 68.5,Team Total,DraftKings,68.5,150.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 69.5,Team Total,DraftKings,69.5,130.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 70.5,Team Total,DraftKings,70.5,110.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 72.5,Team Total,DraftKings,72.5,-130.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 73.5,Team Total,DraftKings,73.5,-155.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 74.5,Team Total,DraftKings,74.5,-180.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 75.5,Team Total,DraftKings,75.5,-215.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 76.5,Team Total,DraftKings,76.5,-260.0
